Regione;Età;Totale Maschi;Totale Femmine
Friuli-Venezia Giulia;32;6168;5908
Friuli-Venezia Giulia;33;5815;5750
Friuli-Venezia Giulia;34;6037;5856
Friuli-Venezia Giulia;35;6299;6181
Friuli-Venezia Giulia;36;6508;6157
Friuli-Venezia Giulia;37;6509;6201
Friuli-Venezia Giulia;38;6819;6582
Friuli-Venezia Giulia;39;6939;6582
Friuli-Venezia Giulia;40;7196;6813
Friuli-Venezia Giulia;41;7397;7041
Friuli-Venezia Giulia;42;8009;7650
Friuli-Venezia Giulia;43;8063;7853
Friuli-Venezia Giulia;44;8410;8434
Friuli-Venezia Giulia;45;8991;8871
Friuli-Venezia Giulia;46;9700;9578
Friuli-Venezia Giulia;47;9470;9617
Friuli-Venezia Giulia;48;9838;9822
Friuli-Venezia Giulia;49;9842;9901
Friuli-Venezia Giulia;50;9790;10134
Friuli-Venezia Giulia;51;10042;9975
Friuli-Venezia Giulia;52;9990;9888
Friuli-Venezia Giulia;53;9978;10156
Friuli-Venezia Giulia;54;9951;10181
Friuli-Venezia Giulia;55;10177;10252
Friuli-Venezia Giulia;56;10327;10383
Friuli-Venezia Giulia;57;9620;10005
Friuli-Venezia Giulia;58;9177;9397
Friuli-Venezia Giulia;59;9001;9110
Friuli-Venezia Giulia;60;8716;8790
Friuli-Venezia Giulia;61;8458;8767
Friuli-Venezia Giulia;62;7866;8369
Friuli-Venezia Giulia;63;7572;8262
Friuli-Venezia Giulia;64;7593;8037
Friuli-Venezia Giulia;65;7402;7840
Friuli-Venezia Giulia;66;7137;7829
Friuli-Venezia Giulia;67;7042;7780
Friuli-Venezia Giulia;68;6806;7777
Friuli-Venezia Giulia;69;6736;7668
Friuli-Venezia Giulia;70;7156;8126
Friuli-Venezia Giulia;71;7053;7928
Friuli-Venezia Giulia;72;7476;8383
Friuli-Venezia Giulia;73;7249;8516
Friuli-Venezia Giulia;74;7663;8747
Friuli-Venezia Giulia;75;5165;5950
Friuli-Venezia Giulia;76;5928;7148
Friuli-Venezia Giulia;77;5766;6940
Friuli-Venezia Giulia;78;5524;7032
Friuli-Venezia Giulia;79;5503;6985
Friuli-Venezia Giulia;80;5625;7258
Friuli-Venezia Giulia;81;5025;6830
Friuli-Venezia Giulia;82;4635;6433
Friuli-Venezia Giulia;83;4036;5742
Friuli-Venezia Giulia;84;3347;5212
Friuli-Venezia Giulia;85;3057;4867
Friuli-Venezia Giulia;86;2447;4388
Friuli-Venezia Giulia;87;2173;3953
Friuli-Venezia Giulia;88;1811;3676
Friuli-Venezia Giulia;89;1567;3240
Friuli-Venezia Giulia;90;1385;3121
Friuli-Venezia Giulia;91;959;2518
Friuli-Venezia Giulia;92;765;2122
Friuli-Venezia Giulia;93;569;1828
Friuli-Venezia Giulia;94;418;1531
